Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24 November 2023,CUST001,Male,34,Beauty,3,50,150
2,27 February 2023,CUST002,Female,26,Clothing,2,500,1000
3,13 January 2023,CUST003,Male,50,Electronics,1,30,30
4,21 May 2023,CUST004,Male,37,Clothing,1,500,500
5,06 May 2023,CUST005,Male,30,Beauty,2,50,100
6,25 April 2023,CUST006,Female,45,Beauty,1,30,30
7,13 March 2023,CUST007,Male,46,Clothing,2,25,50
8,22 February 2023,CUST008,Male,30,Electronics,4,25,100
9,13 December 2023,CUST009,Male,63,Electronics,2,300,600
10,07 October 2023,CUST010,Female,52,Clothing,4,50,200
11,14 February 2023,CUST011,Male,23,Clothing,2,50,100
12,30 October 2023,CUST012,Male,35,Beauty,3,25,75
13,05 August 2023,CUST013,Male,22,Electronics,3,500,1500
14,17 January 2023,CUST014,Male,64,Clothing,4,30,120
15,16 January 2023,CUST015,Female,42,Electronics,4,500,2000
16,17 February 2023,CUST016,Male,19,Clothing,3,500,1500
17,22 April 2023,CUST017,Female,27,Clothing,4,25,100
18,30 April 2023,CUST018,Female,47,Electronics,2,25,50
19,16 September 2023,CUST019,Female,62,Clothing,2,25,50
20,05 November 2023,CUST020,Male,22,Clothing,3,300,900
21,14 January 2023,CUST021,Female,50,Beauty,1,500,500
22,15 October 2023,CUST022,Male,18,Clothing,2,50,100
23,12 April 2023,CUST023,Female,35,Clothing,4,30,120
24,29 November 2023,CUST024,Female,49,Clothing,1,300,300
25,26 December 2023,CUST025,Female,64,Beauty,1,50,50
26,07 October 2023,CUST026,Female,28,Electronics,2,500,1000
27,03 August 2023,CUST027,Female,38,Beauty,2,25,50
28,23 April 2023,CUST028,Female,43,Beauty,1,500,500
29,18 August 2023,CUST029,Female,42,Electronics,1,30,30
30,29 October 2023,CUST030,Female,39,Beauty,3,300,900
31,23 May 2023,CUST031,Male,44,Electronics,4,300,1200
32,04 January 2023,CUST032,Male,30,Beauty,3,30,90
33,23 March 2023,CUST033,Female,50,Electronics,2,50,100
34,24 December 2023,CUST034,Female,51,Clothing,3,50,150
35,05 August 2023,CUST035,Female,58,Beauty,3,300,900
36,24 June 2023,CUST036,Male,52,Beauty,3,300,900
37,23 May 2023,CUST037,Female,18,Beauty,3,25,75
38,21 March 2023,CUST038,Male,38,Beauty,4,50,200
39,21 April 2023,CUST039,Male,23,Clothing,4,30,120
40,22 June 2023,CUST040,Male,45,Beauty,1,50,50
41,22 February 2023,CUST041,Male,34,Clothing,2,25,50
42,17 February 2023,CUST042,Male,22,Clothing,3,300,900
43,14 July 2023,CUST043,Female,48,Clothing,1,300,300
44,19 February 2023,CUST044,Female,22,Clothing,1,25,25
45,03 July 2023,CUST045,Female,55,Electronics,1,30,30
46,26 June 2023,CUST046,Female,20,Electronics,4,300,1200
47,06 November 2023,CUST047,Female,40,Beauty,3,500,1500
48,16 May 2023,CUST048,Male,54,Electronics,3,300,900
49,23 January 2023,CUST049,Female,54,Electronics,2,500,1000
50,24 August 2023,CUST050,Female,27,Beauty,3,25,75
51,02 October 2023,CUST051,Male,27,Beauty,3,25,75
52,05 March 2023,CUST052,Female,36,Beauty,1,300,300
53,13 July 2023,CUST053,Male,34,Electronics,2,50,100
54,10 February 2023,CUST054,Female,38,Electronics,3,500,1500
55,10 October 2023,CUST055,Male,31,Beauty,4,30,120
56,31 May 2023,CUST056,Female,26,Clothing,3,300,900
57,18 November 2023,CUST057,Female,63,Beauty,1,30,30
58,13 November 2023,CUST058,Male,18,Clothing,4,300,1200
59,05 July 2023,CUST059,Male,62,Clothing,1,50,50
60,23 October 2023,CUST060,Male,30,Beauty,3,50,150
61,09 April 2023,CUST061,Male,21,Beauty,4,50,200
62,27 December 2023,CUST062,Male,18,Beauty,2,50,100
63,05 February 2023,CUST063,Male,57,Electronics,2,25,50
64,24 January 2023,CUST064,Male,49,Clothing,4,25,100
65,05 December 2023,CUST065,Male,51,Electronics,4,500,2000
66,27 April 2023,CUST066,Female,45,Electronics,1,30,30
67,29 May 2023,CUST067,Female,48,Beauty,4,300,1200
68,10 February 2023,CUST068,Male,25,Electronics,1,300,300
69,30 April 2023,CUST069,Female,56,Beauty,3,25,75
70,21 February 2023,CUST070,Female,43,Clothing,1,300,300
71,14 July 2023,CUST071,Female,51,Beauty,4,25,100
72,23 May 2023,CUST072,Female,20,Electronics,4,500,2000
73,21 August 2023,CUST073,Male,29,Electronics,3,30,90
74,22 November 2023,CUST074,Female,18,Beauty,4,500,2000
75,06 July 2023,CUST075,Male,61,Beauty,4,50,200
76,25 March 2023,CUST076,Female,22,Electronics,2,50,100
77,09 July 2023,CUST077,Female,47,Clothing,2,50,100
78,01 July 2023,CUST078,Female,47,Clothing,3,500,1500
79,18 April 2023,CUST079,Male,34,Beauty,1,300,300
80,10 December 2023,CUST080,Female,64,Clothing,2,30,60
81,17 May 2023,CUST081,Male,40,Electronics,1,50,50
82,26 December 2023,CUST082,Female,32,Beauty,4,50,200
83,16 December 2023,CUST083,Male,54,Electronics,2,50,100
84,28 November 2023,CUST084,Female,38,Electronics,3,30,90
85,06 February 2023,CUST085,Male,31,Clothing,3,50,150
86,08 November 2023,CUST086,Male,19,Beauty,3,30,90
87,22 November 2023,CUST087,Female,28,Beauty,2,50,100
88,29 March 2023,CUST088,Male,56,Clothing,1,500,500
89,01 October 2023,CUST089,Female,55,Electronics,4,500,2000
90,06 May 2023,CUST090,Female,51,Electronics,1,30,30
91,25 March 2023,CUST091,Female,55,Electronics,1,500,500
92,25 August 2023,CUST092,Female,51,Electronics,4,30,120
93,14 July 2023,CUST093,Female,35,Beauty,4,500,2000
94,19 May 2023,CUST094,Female,47,Beauty,2,500,1000
95,24 November 2023,CUST095,Female,32,Clothing,2,30,60
96,19 December 2023,CUST096,Female,44,Clothing,2,300,600
97,13 October 2023,CUST097,Female,51,Beauty,2,500,1000
98,23 April 2023,CUST098,Female,55,Beauty,2,50,100
99,17 December 2023,CUST099,Female,50,Electronics,4,300,1200
100,16 June 2023,CUST100,Male,41,Electronics,1,30,30
101,29 January 2023,CUST101,Male,32,Clothing,2,300,600
102,28 April 2023,CUST102,Female,47,Beauty,2,25,50
103,17 January 2023,CUST103,Female,59,Clothing,1,25,25
104,11 June 2023,CUST104,Female,34,Beauty,2,500,1000
105,25 July 2023,CUST105,Female,22,Electronics,1,500,500
106,18 May 2023,CUST106,Female,46,Clothing,1,50,50
107,03 February 2023,CUST107,Female,21,Clothing,4,300,1200
108,19 April 2023,CUST108,Female,27,Beauty,3,25,75
109,18 October 2023,CUST109,Female,34,Electronics,4,500,2000
110,11 June 2023,CUST110,Male,27,Clothing,3,300,900
111,19 April 2023,CUST111,Female,34,Electronics,3,500,1500
112,02 December 2023,CUST112,Male,37,Clothing,3,500,1500
113,13 September 2023,CUST113,Female,41,Electronics,2,25,50
114,22 July 2023,CUST114,Female,22,Beauty,4,25,100
115,26 November 2023,CUST115,Male,51,Clothing,3,500,1500
116,23 August 2023,CUST116,Female,23,Clothing,1,30,30
117,15 March 2023,CUST117,Male,19,Electronics,2,500,1000
118,16 May 2023,CUST118,Female,30,Electronics,4,500,2000
119,13 March 2023,CUST119,Female,60,Clothing,3,50,150
120,07 May 2023,CUST120,Male,60,Beauty,1,50,50
121,15 October 2023,CUST121,Female,28,Electronics,4,50,200
122,03 October 2023,CUST122,Male,64,Electronics,4,30,120
123,15 May 2023,CUST123,Female,40,Electronics,2,30,60
124,27 October 2023,CUST124,Male,33,Clothing,4,500,2000
125,08 August 2023,CUST125,Male,48,Clothing,2,50,100
126,26 October 2023,CUST126,Female,28,Clothing,3,30,90
127,24 July 2023,CUST127,Female,33,Clothing,2,25,50
128,05 July 2023,CUST128,Male,25,Beauty,1,500,500
129,23 April 2023,CUST129,Female,21,Beauty,2,300,600
130,12 March 2023,CUST130,Female,57,Clothing,1,500,500
131,18 September 2023,CUST131,Female,21,Beauty,2,300,600
132,10 September 2023,CUST132,Male,42,Electronics,4,50,200
133,16 February 2023,CUST133,Male,20,Electronics,3,300,900
134,25 January 2023,CUST134,Male,49,Electronics,1,50,50
135,26 February 2023,CUST135,Male,20,Clothing,2,25,50
136,20 March 2023,CUST136,Male,44,Electronics,2,300,600
137,18 November 2023,CUST137,Male,46,Beauty,2,500,1000
138,23 March 2023,CUST138,Male,49,Clothing,4,50,200
139,15 December 2023,CUST139,Male,36,Beauty,4,500,2000
140,05 August 2023,CUST140,Male,38,Electronics,1,30,30
141,02 November 2023,CUST141,Female,22,Electronics,1,50,50
142,02 February 2023,CUST142,Male,35,Electronics,4,300,1200
